['PREDICTED', 'Left', '15:39:5']
['PREDICTED', 'Left', '15:39:6']

['TO DO', 'Right', '15:39:6']
['PREDICTED', 'Left', '15:39:6']
['PREDICTED', 'Left', '15:39:7']
['PREDICTED', 'Left', '15:39:7']
['PREDICTED', 'Left', '15:39:8']
['PREDICTED', 'Left', '15:39:8']
['PREDICTED', 'Left', '15:39:9']
['PREDICTED', 'Left', '15:39:9']

['TO DO', 'Right', '15:39:11']
['PREDICTED', 'Right', '15:39:11']
['PREDICTED', 'Left', '15:39:12']
['PREDICTED', 'Left', '15:39:12']
['PREDICTED', 'Left', '15:39:13']
['PREDICTED', 'Left', '15:39:13']
['PREDICTED', 'Left', '15:39:15']
['PREDICTED', 'Left', '15:39:16']

['TO DO', 'Down', '15:39:17']
['PREDICTED', 'Right', '15:39:17']
['PREDICTED', 'Left', '15:39:17']
['PREDICTED', 'Left', '15:39:17']
['PREDICTED', 'Left', '15:39:18']
['PREDICTED', 'Left', '15:39:18']
['PREDICTED', 'Left', '15:39:19']
['PREDICTED', 'Left', '15:39:20']
['PREDICTED', 'Down', '15:39:20']

['TO DO', 'Left', '15:39:21']
['PREDICTED', 'Left', '15:39:21']
['PREDICTED', 'Left', '15:39:23']
['PREDICTED', 'Left', '15:39:23']
['PREDICTED', 'Left', '15:39:24']
['PREDICTED', 'Left', '15:39:24']
['PREDICTED', 'Left', '15:39:25']

['TO DO', 'Down', '15:39:26']
['PREDICTED', 'Right', '15:39:26']
['PREDICTED', 'Right', '15:39:28']
['PREDICTED', 'Right', '15:39:28']
['PREDICTED', 'Right', '15:39:29']
['PREDICTED', 'Right', '15:39:29']
['PREDICTED', 'Right', '15:39:30']
['PREDICTED', 'Right', '15:39:30']
['PREDICTED', 'Right', '15:39:30']
['PREDICTED', 'Right', '15:39:31']

['TO DO', 'Up', '15:39:31']
['PREDICTED', 'Right', '15:39:31']
['PREDICTED', 'Right', '15:39:32']
['PREDICTED', 'Right', '15:39:32']
['PREDICTED', 'Right', '15:39:33']
['PREDICTED', 'Right', '15:39:33']
['PREDICTED', 'Right', '15:39:34']
['PREDICTED', 'Right', '15:39:34']
['PREDICTED', 'Right', '15:39:35']
['PREDICTED', 'Right', '15:39:35']
['PREDICTED', 'Right', '15:39:36']

['TO DO', 'Left', '15:39:36']
['PREDICTED', 'Right', '15:39:36']
['PREDICTED', 'Right', '15:39:37']
['PREDICTED', 'Right', '15:39:37']
['PREDICTED', 'Right', '15:39:38']
['PREDICTED', 'Right', '15:39:38']
['PREDICTED', 'Right', '15:39:39']
['PREDICTED', 'Right', '15:39:40']
['PREDICTED', 'Right', '15:39:40']
['PREDICTED', 'Left', '15:39:41']
['PREDICTED', 'Right', '15:39:41']

['TO DO', 'Up', '15:39:41']
['PREDICTED', 'Down', '15:39:42']
['PREDICTED', 'Left', '15:39:42']
['PREDICTED', 'Right', '15:39:42']
['PREDICTED', 'Right', '15:39:43']
['PREDICTED', 'Right', '15:39:43']
['PREDICTED', 'Right', '15:39:44']
['PREDICTED', 'Right', '15:39:44']
['PREDICTED', 'Right', '15:39:45']
['PREDICTED', 'Right', '15:39:45']
['PREDICTED', 'Right', '15:39:46']

['TO DO', 'Right', '15:39:46']
['PREDICTED', 'Right', '15:39:46']
['PREDICTED', 'Right', '15:39:47']
['PREDICTED', 'Right', '15:39:47']
['PREDICTED', 'Right', '15:39:48']
['PREDICTED', 'Right', '15:39:48']
['PREDICTED', 'Right', '15:39:49']
['PREDICTED', 'Right', '15:39:49']
['PREDICTED', 'Right', '15:39:50']
['PREDICTED', 'Left', '15:39:51']

['TO DO', 'Left', '15:39:51']
['PREDICTED', 'Right', '15:39:52']
['PREDICTED', 'Right', '15:39:53']
['PREDICTED', 'Right', '15:39:53']
['PREDICTED', 'Right', '15:39:54']
['PREDICTED', 'Right', '15:39:54']
['PREDICTED', 'Right', '15:39:54']
['PREDICTED', 'Left', '15:39:55']
['PREDICTED', 'Right', '15:39:56']

['TO DO', 'Down', '15:39:56']
['PREDICTED', 'Left', '15:39:57']
['PREDICTED', 'Right', '15:39:57']
['PREDICTED', 'Right', '15:39:58']
['PREDICTED', 'Right', '15:39:58']
['PREDICTED', 'Right', '15:39:59']
['PREDICTED', 'Right', '15:39:59']
['PREDICTED', 'Right', '15:40:0']
['PREDICTED', 'Right', '15:40:0']
['PREDICTED', 'Right', '15:40:1']

['TO DO', 'Up', '15:40:1']
['PREDICTED', 'Right', '15:40:1']
['PREDICTED', 'Right', '15:40:2']
['PREDICTED', 'Right', '15:40:2']
['PREDICTED', 'Right', '15:40:3']
['PREDICTED', 'Right', '15:40:3']
['PREDICTED', 'Right', '15:40:4']
['PREDICTED', 'Right', '15:40:4']
['PREDICTED', 'Right', '15:40:5']
['PREDICTED', 'Right', '15:40:6']
['PREDICTED', 'Right', '15:40:6']

['TO DO', 'beep', '15:40:6']
['PREDICTED', 'Right', '15:40:7']
['PREDICTED', 'Right', '15:40:7']
['PREDICTED', 'Right', '15:40:7']
['PREDICTED', 'Right', '15:40:8']
['PREDICTED', 'Right', '15:40:8']
['PREDICTED', 'Right', '15:40:9']
['PREDICTED', 'Right', '15:40:9']
['PREDICTED', 'Right', '15:40:10']
['PREDICTED', 'Right', '15:40:10']
['PREDICTED', 'Right', '15:40:11']
